"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row2481","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Cohen J Statistical Power Analysis Behavioral Sciences Routledge York NY USA",11,"cohen j statistical power analysis behavioral sciences routledge york ny usa"
"Row2482","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Appel L Appel E Bogler O Wiseman M Cohen L Ein N Abrams HB Campos JL Adults Cognitive andor

Physical Impairments Benefit Immersive Virtual Reality Experiences Feasibility Study",28,"appel l appel e bogler o wiseman m cohen l ein n abrams hb campos jl adults cognitive andor

physical impairments benefit immersive virtual reality experiences feasibility study"
"Row2483","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Front",1,"front"
"Row2484","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Med",1,"med"
"Row2485","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2486","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Barsasella D Liu MF Malwade S Galvin CJ Dhar E Chang C-C Li Y-CJ Syed-Abdul S Effects virtual reality
sessions quality life happiness functional fitness people randomized controlled trial Taiwan",30,"barsasella d liu mf malwade s galvin cj dhar e chang c-c li y-cj syed-abdul s effects virtual reality
sessions quality life happiness functional fitness people randomized controlled trial taiwan"
"Row2487","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Comput",1,"comput"
"Row2488","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Methods Programs Biomed",3,"methods programs biomed"
"Row2489","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2490","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Benham S Kang M Grampurohit N Immersive Virtual Reality Management Pain Community-Dwelling Adults",13,"benham s kang m grampurohit n immersive virtual reality management pain community-dwelling adults"
"Row2491","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","OTJR Occup",2,"otjr occup"
"Row2492","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Particip",1,"particip"
"Row2493","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Health  90–96",2,"health  90–96"
"Row2494","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2495","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Brown JA",2,"brown ja"
"Row2496","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Exploration Virtual Reality Application Adult Populations",6,"exploration virtual reality application adult populations"
"Row2497","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Gerontol",1,"gerontol"
"Row2498","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Geriatr",1,"geriatr"
"Row2499","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Med",1,"med"
"Row2500","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef

34",2,"crossref

34"
"Row2501","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Burin D Kawashima R Repeated exposure illusory sense body ownership agency moving virtual body
improves executive functioning increases prefrontal cortex activity elderly",22,"burin d kawashima r repeated exposure illusory sense body ownership agency moving virtual body
improves executive functioning increases prefrontal cortex activity elderly"
"Row2502","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Front",1,"front"
"Row2503","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Hum",1,"hum"
"Row2504","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Neurosci",1,"neurosci"
"Row2505","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2506","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Campo-Prieto P Rodríguez-Fuentes G Cancela-Carral JM Immersive virtual reality exergame promotes practice physical activity people opportunity COVID-19",17,"campo-prieto p rodríguez-fuentes g cancela-carral jm immersive virtual reality exergame promotes practice physical activity people opportunity covid-19"
"Row2507","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Multimodal Technol",2,"multimodal technol"
"Row2508","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Interact",1,"interact"
"Row2509","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef

httpdoiorg101038nrendo201070
httpdoiorg101136bjsports-2016-096547",7,"crossref

httpdoiorg101038nrendo201070
httpdoiorg101136bjsports-2016-096547"
"Row2510","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg105334pb1033",3,"httpdoiorg105334pb1033"
"Row2511","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg1011772055668320913770",3,"httpdoiorg1011772055668320913770"
"Row2512","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg1014198jhsehttpdoiorg1010370090-5550463296",6,"httpdoiorg1014198jhsehttpdoiorg1010370090-5550463296"
"Row2513","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390jcm8101516",3,"httpdoiorg103390jcm8101516"
"Row2514","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed31547137",4,"httpwwwncbinlmnihgovpubmed31547137"
"Row2515","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101109TNSRE20192955804",3,"httpdoiorg101109tnsre20192955804"
"Row2516","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jphysio201508009
httpwwwncbinlmnihgovpubmed26582134",7,"httpdoiorg101016jphysio201508009
httpwwwncbinlmnihgovpubmed26582134"
"Row2517","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101038s41582-020-0370-2",3,"httpdoiorg101038s41582-020-0370-2"
"Row2518","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103233shti190774",3,"httpdoiorg103233shti190774"
"Row2519","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg10219610839",3,"httpdoiorg10219610839"
"Row2520","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jijsu2021105906",3,"httpdoiorg101016jijsu2021105906"
"Row2521","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpswwwcovidenceorg",3,"httpswwwcovidenceorg"
"Row2522","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103138ptc2014-37F",3,"httpdoiorg103138ptc2014-37f"
"Row2523","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed26839449",4,"httpwwwncbinlmnihgovpubmed26839449"
"Row2524","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101310Y6TG-1KQ9-LEDQ-64L8",3,"httpdoiorg101310y6tg-1kq9-ledq-64l8"
"Row2525","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed13680515",4,"httpwwwncbinlmnihgovpubmed13680515"
"Row2526","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jjphyshttpswwwcebmoxacukresourcesebm-toolscritical-appraisal-tools
httpswwwcebmoxacukresourcesebm-toolscritical-appraisal-tools
httpdoiorg102196jmir1357",15,"httpdoiorg101016jjphyshttpswwwcebmoxacukresourcesebm-toolscritical-appraisal-tools
httpswwwcebmoxacukresourcesebm-toolscritical-appraisal-tools
httpdoiorg102196jmir1357"
"Row2527","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103389fmed",3,"httpdoiorg103389fmed"
"Row2528","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jcmpb2020105892",3,"httpdoiorg101016jcmpb2020105892"
"Row2529","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg1011771539449218817291",3,"httpdoiorg1011771539449218817291"
"Row2530","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg1011772333721419885287",3,"httpdoiorg1011772333721419885287"
"Row2531","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103389fnhum2021674326",3,"httpdoiorg103389fnhum2021674326"
"Row2532","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390mti5090052",3,"httpdoiorg103390mti5090052"
"Row2533","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sensors",1,"sensors"
"Row2534","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Campo-Prieto P Cancela-Carral JM Rodríguez-Fuentes G Wearable Immersive Virtual Reality Device Promoting Physical
Activity Parkinson’s Disease Patients",17,"campo-prieto p cancela-carral jm rodríguez-fuentes g wearable immersive virtual reality device promoting physical
activity parkinson’s disease patients"
"Row2535","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sensors",1,"sensors"
"Row2536","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed

Campo-Prieto P Cancela-Carral JM Alsina-Rey B Rodríguez-Fuentes G Immersive virtual reality novel physical therapy
approach nonagenarians Usability effects balance outcomes game-based exercise program",25,"crossref pubmed

campo-prieto p cancela-carral jm alsina-rey b rodríguez-fuentes g immersive virtual reality novel physical therapy
approach nonagenarians usability effects balance outcomes game-based exercise program"
"Row2537","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Clin",2,"j clin"
"Row2538","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Med",1,"med"
"Row2539","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2540","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Campo-Prieto P Cancela-Carral JM Rodríguez-Fuentes G Feasibility Effects Immersive Virtual Reality Exergame
Program Physical Functions Institutionalized Adults Randomized Clinical Trial",20,"campo-prieto p cancela-carral jm rodríguez-fuentes g feasibility effects immersive virtual reality exergame
program physical functions institutionalized adults randomized clinical trial"
"Row2541","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sensors",1,"sensors"
"Row2542","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef
PubMed",2,"crossref
pubmed"
"Row2543","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Cikajlo I Peterlin Potisk K Advantages using 3D virtual reality based training persons Parkinson’s disease parallel
study",17,"cikajlo i peterlin potisk k advantages using 3d virtual reality based training persons parkinson’s disease parallel
study"
"Row2544","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Neuroeng",2,"j neuroeng"
"Row2545","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Rehabil",1,"rehabil"
"Row2546","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2547","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Crosbie JH Lennon S McNeill MDJ McDonough SM Virtual reality rehabilitation upper limb stroke
user’s perspective",16,"crosbie jh lennon s mcneill mdj mcdonough sm virtual reality rehabilitation upper limb stroke
user’s perspective"
"Row2548","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Cyberpsychol",1,"cyberpsychol"
"Row2549","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Behav",1,"behav"
"Row2550","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Impact Internet Multimed",3,"impact internet multimed"
"Row2551","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Virtual Real",2,"virtual real"
"Row2552","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Behav",1,"behav"
"Row2553","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Soc",1,"soc"
"Row2554","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","137–141",1,"137–141"
"Row2555","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2556","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Høeg ER Bruun-Pedersen JR Cheary S Andersen LK Paisa R Serafin S Lange B Buddy biking user study social
collaboration virtual reality exergame rehabilitation",24,"høeg er bruun-pedersen jr cheary s andersen lk paisa r serafin s lange b buddy biking user study social
collaboration virtual reality exergame rehabilitation"
"Row2557","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Virtual Real",2,"virtual real"
"Row2558","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","1–18",1,"1–18"
"Row2559","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2560","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Janeh O Fründt O Schönwald B Gulberti A Buhmann C Gerloff C Steinicke F Pötter-Nerger M Gait Training Virtual
Reality Short-Term Effects Virtual Manipulation Techniques Parkinson’s Disease",27,"janeh o fründt o schönwald b gulberti a buhmann c gerloff c steinicke f pötter-nerger m gait training virtual
reality short-term effects virtual manipulation techniques parkinson’s disease"
"Row2561","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Cells",1,"cells"
"Row2562","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2563","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Thapa N Park HJ Yang J-G Son H Jang M Lee J Kang SW Park KW Park H",18,"thapa n park hj yang j-g son h jang m lee j kang sw park kw park h"
"Row2564","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","effect virtual reality-based
intervention program cognition adults mild cognitive impairment randomized control trial",13,"effect virtual reality-based
intervention program cognition adults mild cognitive impairment randomized control trial"
"Row2565","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Clin",2,"j clin"
"Row2566","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Med",1,"med"
"Row2567","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2568","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Jung J Yu J Kang H Effects Virtual Reality Treadmill Training Balance Balance Self-efficacy Stroke Patients History Falling",18,"jung j yu j kang h effects virtual reality treadmill training balance balance self-efficacy stroke patients history falling"
"Row2569","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Phys",2,"j phys"
"Row2570","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Ther",1,"ther"
"Row2571","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sci",1,"sci"
"Row2572","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","1133–1136",1,"1133–1136"
"Row2573","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2574","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Kanyılmaz T Topuz O Ardıç FN Alkan H Öztekin SNS Topuz B Ardıç F Effectiveness conventional versus virtual
reality-based vestibular rehabilitation exercises elderly patients dizziness randomized controlled study 6-month
follow-up",30,"kanyılmaz t topuz o ardıç fn alkan h öztekin sns topuz b ardıç f effectiveness conventional versus virtual
reality-based vestibular rehabilitation exercises elderly patients dizziness randomized controlled study 6-month
follow-up"
"Row2575","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Braz",1,"braz"
"Row2576","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Otorhinolaryngol",2,"j otorhinolaryngol"
"Row2577","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","S41–S49",1,"s41–s49"
"Row2578","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2579","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Kim A Darakjian N Finley JM Walking immersive virtual environments evaluation potential adverse effects
adults individuals Parkinson’s disease",18,"kim a darakjian n finley jm walking immersive virtual environments evaluation potential adverse effects
adults individuals parkinson’s disease"
"Row2580","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Neuroeng",2,"j neuroeng"
"Row2581","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Rehabil",1,"rehabil"
"Row2582","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2583","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Kiper P Przysiężna E Cieślik B Broniec-Siekaniec K Kucińska A Szczygieł J Turek K Gajda R Szczepańska-Gieracha
J Effects Immersive Virtual Therapy Method Supporting Recovery Depressive Symptoms Post-Stroke Rehabilitation
Randomized Controlled Trial",32,"kiper p przysiężna e cieślik b broniec-siekaniec k kucińska a szczygieł j turek k gajda r szczepańska-gieracha
j effects immersive virtual therapy method supporting recovery depressive symptoms post-stroke rehabilitation
randomized controlled trial"
"Row2584","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Clin",1,"clin"
"Row2585","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Interv",1,"interv"
"Row2586","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Aging  1673–1685",2,"aging  1673–1685"
"Row2587","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2588","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Kruse L Karaosmanoglu S Rings S Ellinger B Steinicke F Enabling immersive exercise activities adults comparison virtual reality exergames traditional video exercises",22,"kruse l karaosmanoglu s rings s ellinger b steinicke f enabling immersive exercise activities adults comparison virtual reality exergames traditional video exercises"
"Row2589","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Societies",1,"societies"
"Row2590","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2591","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Li X Niksirat KS Chen S Weng D Sarcar S Ren",11,"li x niksirat ks chen s weng d sarcar s ren"
"Row2592","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","impact multitasking-based virtual reality motion video game
cognitive physical abilities adults",11,"impact multitasking-based virtual reality motion video game
cognitive physical abilities adults"
"Row2593","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sustainability",1,"sustainability"
"Row2594","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2595","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Liepa A Tang J Jaundaldere I Dubinina E Larins V Feasibility randomized controlled trial virtual reality exergame improve physical cognitive functioning people",22,"liepa a tang j jaundaldere i dubinina e larins v feasibility randomized controlled trial virtual reality exergame improve physical cognitive functioning people"
"Row2596","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Acta Gymnica",2,"acta gymnica"
"Row2597","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2598","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Liu J Lockhart TE Parijat P McIntosh JD Chiu Y-P",10,"liu j lockhart te parijat p mcintosh jd chiu y-p"
"Row2599","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Comparison Slip Training VR Environment Moveable
Platform",7,"comparison slip training vr environment moveable
platform"
"Row2600","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Biomed",1,"biomed"
"Row2601","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sci",1,"sci"
"Row2602","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Instrum",1,"instrum"
"Row2603","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","189–197",1,"189–197"
"Row2604","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Matamala-Gomez M Slater M Sanchez-Vives MV Impact virtual embodiment exercises functional ability range
motion orthopedic rehabilitation",16,"matamala-gomez m slater m sanchez-vives mv impact virtual embodiment exercises functional ability range
motion orthopedic rehabilitation"
"Row2605","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sci",1,"sci"
"Row2606","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Rep",1,"rep"
"Row2607","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2608","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Micarelli A Viziano A Micarelli B Augimeri I Alessandrini M Vestibular rehabilitation adults mild cognitive impairment Effects virtual reality using head-mounted display",22,"micarelli a viziano a micarelli b augimeri i alessandrini m vestibular rehabilitation adults mild cognitive impairment effects virtual reality using head-mounted display"
"Row2609","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Arch",1,"arch"
"Row2610","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Gerontol",1,"gerontol"
"Row2611","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Geriatr",1,"geriatr"
"Row2612","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","246–256",1,"246–256"
"Row2613","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2614","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Muhla F Clanché F Duclos K Meyer P Maïaux S Colnat-Coulbois S Gauchard GC Impact using immersive virtual
reality time steps Timed test elderly people",25,"muhla f clanché f duclos k meyer p maïaux s colnat-coulbois s gauchard gc impact using immersive virtual
reality time steps timed test elderly people"
